Job ID,Job Title,Job Description,Job Qualifications
44144924,Jefe de Mantenimiento,"•Coordinar, dirigir y supervisar las actividades de la unidad de mantenimiento en la organización. 
•Mantener actualizado el procedimiento documentado de mantenimiento, remodelación o ampliación de la infraestructura. 
•Gestionar y supervisar el buen funcionamiento de los equipos e infraestructura.
•Elaborar y ejecutar el plan anual de mantenimiento preventivo y de recuperación de los equipos de la clínica, incluido en el Plan Operativo Anual y en el presupuesto anual de mantenimiento.
•Coordinar el desarrollo de trabajos con el personal contratista, supervisando la calidad de los materiales y la correcta aplicación de las especificaciones del contrato.
•Planificar, proponer y ejecutar los proyectos de ahorro de energía eléctrica, gas y agua.
•Garantizar la gestión de mantenimiento preventivo y correctivo de la organización y equipo  Biomédico, Electrónico, Eléctrico, Electromecánico, Sanitario e infraestructura.
•Garantizar la compra de repuestos e insumos, renovación de equipos y supervisar que exista un stock mínimo de repuestos, insumos y accesorios.
•Supervisar el cumplimiento de las normas de seguridad y el correcto uso del equipo de seguridad.","•	Experiencia en Mantenimiento de equipos Biomédicos, Conocimientos en Defensa Civil (Trámites de INDECI).
•	Más de 4 años de experiencia en puestos de jefatura, de preferencia en el sector de salud privado hospitalario, hotelero o similar."
44144246,Analista de Ingeniería Clinica,"•Elaboración, Ejecución y Control del Procedimiento de Sostenimiento de los Equipos Médicos (GA.IC.P.04).
•Apoyo en la ejecución del Procedimiento de Adquisición de Equipos Médicos (GA.IC.P.02): Entrevista a los usuarios para establecer los requerimientos principales de los equipos médicos, Evaluación de la Tecnología Médica (pruebas, ensayos clínicos) para la correcta configuración y adquisición de los equipos médicos.  Cuadros comparativos de cotizaciones (LCCA).
•Apoyo en la optimización de procesos asistenciales a través de la tecnología médica (correcta configuración de los equipos médicos)
•Autocapacitación, investigación.  Revisión de las bases de datos en las que estamos suscritos.  Visitas de supervisión y validación de la ejecución de los lineamientos corporativos por especialidad (estandarización).  
•Apoyo en la Ejecución del Procedimiento de Evaluación y Planificación de Servicio (GA.IC.P.01).","•Experiencia mayor a 01 año en el sector salud, específicamente en Ingeniería Clínica.
•Conocimiento teórico y práctico en equipamiento médico de su especialidad a nivel usuario y técnico (Diagnóstico por Imágenes, Áreas Críticas, Salas de Operaciones, Esterilización).
•Experiencia en Evaluación, Planificación y Adquisición del equipamiento médico de su especialidad (Diagnóstico por Imágenes, Áreas Críticas, Salas de Operaciones, Esterilización)
•Elaboración, ejecución y seguimiento de Planes de Sostenimiento de Equipos Médicos y presentaciones de resúmenes ejecutivos.
•Experiencia en Proyectos (ideal). ok"
44145328,Investigador,"a) Supervisar y realizar las actividades del proyecto “diagnóstico preventivo de pie diabético basado en imágenes térmicas”, toma de imágenes, programación, análisis de datos, redacción de informes y papers.
b) Apoyar la formulación de proyectos y búsqueda de financiamientos en conjunto con el personal experto del Laboratorio de Bioingeniería.
Grado académico mínimo para ser candidato: es el de Titulado en Ingeniería y estudiante de Maestría en Ingeniería Biomédica."," Es deseable que el candidato tenga alguna experiencia en participación de proyectos.
- Alto nivel de lectura y escritura en Inglés.
- Conocimiento de Matlab
- Competencias: ser proactivo, disposición a trabajo en equipo, liderazgo y organización.
-Grado académico mínimo para ser candidato: es el de Titulado en Ingeniería y estudiante de Maestría en Ingeniería Biomédica."
44145332,Asistente de investigación,"a) realizar las actividades del proyecto “diagnóstico preventivo de pie diabético basado en imágenes térmicas”, toma de imágenes, programación, análisis de datos, redacción de informes y papers.
b) Apoyar la formulación de proyectos y búsqueda de financiamientos en conjunto con el personal experto del Laboratorio de Bioingeniería.","- Es deseable que el candidato tenga alguna experiencia en participación de proyectos.
- Alto nivel de lectura y escritura en Inglés.
- Conocimiento de Matlab
- Competencias: ser proactivo, disposición a trabajo en equipo, liderazgo y organización."
44145354,Asistente de investigación,"a) realizar las actividades del proyecto “diagnóstico preventivo de pie diabético basado en imágenes térmicas”, toma de imágenes, programación, análisis de datos, redacción de informes y papers.
b) Apoyar la formulación de proyectos y búsqueda de financiamientos en conjunto con el personal experto del Laboratorio de Bioingeniería.","- Es deseable que el candidato tenga alguna experiencia en participación de proyectos.
- Alto nivel de lectura y escritura en Inglés.
- Conocimiento de Matlab"
44152064,Asistente de Investigación,"Supervisar y realizar las actividades del proyecto “Diagnóstico preventivo de pie diabético basado en imágenes térmicas”, toma de imágenes, programación, análisis de datos, redacción de informes y papers.

Apoyar la formulación de proyectos y búsqueda de financiamientos en conjunto con el personal experto del Laboratorio de Bioingeniería.

Grado académico mínimo para ser candidato: Titulado en Ingeniería Electrónica, Mecatrónica, Informática.","Es deseable que el candidato tenga alguna experiencia en participación de proyectos.

Alto nivel de lectura y escritura en Inglés.

Conocimiento de Matlab

Competencias: ser proactivo, disposición a trabajo en equipo, liderazgo y organización.

Grado académico mínimo para ser candidato:  Titulado en Ingeniería y/o estudiante de Maestría en Ingeniería Biomédica."
44155240,Ingeniero Clinico,"Dirigir las acciones de fortalecimiento de la gestión de tecnología en salud en hospitales asignados al IGSS-MINSA. Ingeniero titulado, con CIP vigente, 3 años de experiencia en hospitales.",3 aos de experiencia en trabajo con equipos médicos y/o hospitales.
44158291,Asistente de Investigación,"Levantamiento de información en hospital.
Elaboración de formatos y fichas para la gestión de tecnología en salud.
Seguimiento a la implementación del sistema de gestión en el hospital seleccionado.
Capacitación al personal del hospital.",Conocimientos de Ingeniería Clínica.
44158535,Asistente de Investigación,"Supervisar y realizar las actividades del proyecto “Diagnóstico preventivo de pie diabético basado en imágenes térmicas”, toma de imágenes, programación, análisis de datos, redacción de informes y artículos.

Apoyar la formulación de proyectos y búsqueda de financiamientos en conjunto con el personal experto del Laboratorio de Bioingeniería.","Es deseable que el candidato tenga alguna experiencia en participación de proyectos.

Alto nivel de lectura y escritura en Inglés.

Conocimiento de Matlab."
44162744,Ingeniero de Servicio/Ventas,"Venta de equipos de Alta Tecnología.
Revisión de Expedientes.
Realizar presentaciones a los usuarios.
Captar nuevos clientes, hacer seguimiento.
Aprender sobre el mantenimiento de los equipos de alta tecnología para apoyar al departamento de Ingeniería.
Realizar capacitaciones a los usuarios.","Experiencia Comprobada de 1 año en Equipamiento Biomédico.
Experiencia Indispensable en Ventas de Equipos Biomédicos o Equipos relacionados

Sueldo por encima del mercado"
44163154,Ingeniero Electrónico,"Ingeniero electrónico graduado y colegiado con capacitación en ingeniería clínica y experiencia de dos años en el sector salud.
Enviar su CV al Dr. Luis Vilcahuamán - lvilcah@pucp.edu.pe",
44144773,Ingeniero de Servicio Técnico - Equipos Biomédico,"-Realizar de los procedimientos de Instalaciones/Desinstalaciones, de manera adecuada: coordinación interna/externa,  seguimiento   y realización que garantice el óptimo funcionamiento de los equipos
-Realizar los mantenimientos preventivos según planificación y según protocolos.
-Ser el asesor técnico sobre los requerimientos técnicos de los modelos de equipos para la organización de lanzamientos y en el manejo de la línea de productos/equipos.
-Proporcionar toda información requerida en los tiempos establecidos, los cuales garanticen la oportuna y correcta atención del cliente.
-Cumplir los procedimientos administrativos y técnicos para la realización de sus actividades","Inglés a nivel avanzado (Recomendable)
-Conocimientos de Windows Office y Autocad o algún programa similar
-Experiencia mínima de 2 años en cargos de soporte y servicio técnico manejando equipos médicos.
-Competencias: Servicio al cliente, trabajo en equipo, tolerancia a la presión, planeación y organización"
44161145,Ingeniero de Servicio,"A cargo de realizar el servicio de mantenimiento Preventivo y Correctivo de equipos de alta tecnología.
Revisión de Expedientes.
Apoyar en la venta de diversos equipos.
Realizar presentaciones a los usuarios.","Experiencia Comprobada de 1 año en Equipamiento Biomédico.

Sueldo por encima del mercado"
44159000,Practicante de Ingeniería de Campo,"Realizar la revisión física, prueba operativa y configuración de los equipos previo al despacho. Regularmente en almacén y ocasionalmente en el depósito de Aduanas.

Ejecutar las instalaciones, mantenimientos y/o reparaciones de acuerdo a la programación asignada.

Disponibilidad para efectuar viajes por mantenimiento, en el interior del país, y de acuerdo a la programación.

Presentar reportes semanales o Informes Técnicos de actividades realizadas.

Presentar reporte de gastos por los viajes programados, debidamente sustentado con facturas, a través del Soporte de Servicio.

Realizar el Informe de verificación de los equipos y calibradores asignados, ubicados en el taller.

Informar los trabajos realizados en el día, a través de su líder de grupo y/o Coordinador de Programación.

Realizar el inventario de manuales y herramientas del taller, de ser asignado.

Generar y concretar oportunidades de Negocio, siendo estas la venta de accesorios, repuestos, servicios, alquiler y/o contratos de mantenimiento a los clientes visitados.

Elaborar presentaciones para ser expuestas ante el comité de Recepción de equipos.

Realizar cualquier otra actividad relacionada con Servicio, solicitada por el Jefe de Servicio Técnico y/o Gerente de Operaciones","EDUCACIÓN: Superior técnico / Superior Universitario
FORMACIÓN BÁSICA:	Ingeniería Electrónica o Biomédica
FORMACIÓN COMPLEMENTARIA:	Ninguna
EXPERIENCIA REQUERIDA:	Ninguna
IDIOMAS:	Inglés Intermedio
INFORMÁTICA:	Manejo de Microsoft nivel usuario."
44164768,Ingeniero de Mantenimiento y Servicio Técnico,"Planificación y ejecución del mantenimiento preventivo y correctivo de equipos de las marcas representadas dentro y fuera del país. 

Realizar la instalación, mantenimiento, diagnóstico, reparación y capacitación a usuarios. 

Elaborar de informes de productividad, fallas técnicas, ente otros.

Solicitar los repuestos e informar Stock mínimos.  

Cumplir con el sistema de gestión de calidad de servicio técnico en las actividades que realice.","Profesional titulado y/o colegiado en Ingeniería Electrónica o Mecatrónica.

Experiencia mínima de 01 año en mantenimiento correctivo y preventivo de equipos médicos en Hospitales, Clínicas o empresas afines.

Experiencia en planificación y ejecución de mantenimiento de equipos de infusión o nutrición. Deseable de Bombas Enterales, Parenterales, etc.

Disponibilidad para realizar viajes a provincia."
44146504,Ingeniero de Servicios,"•Supervisar, dirigir, ejecutar y reportar actividades de instalación y mantenimiento de equipos médicos y de repuestos.
•Programar, coordinar, supervisar y elaborar charlas técnicas, cálculos técnicos, instalaciones, mantenimientos, acciones preventivas y correctivas.
•Llevar a cabo los trabajos asignados dentro de tiempos establecidos y/o convenidos con el cliente.
•Detectar nuevas oportunidades de negocios de servicio.","•4 años de experiencia
•Manejo de Computación: Microsoft Office,  Excel a nivel usuario.
•Manejo de equipos y herramientas como multímetros, osciloscopios, medidores de impedancia, etc.
•Orientación alta a valores, sensibilidad intercultural, adecuación  al cambio y  al resultado del negocio.
•Orientación al cliente interno y externo, capacidad de trabajo en equipo y manejo de conflictos, comunicación eficaz.
•Preferible Especialización en el área respectiva (electro medicina; radiología, entre otros)."
44164256,Asistente Técnico -Comercial Sector Salud,"Trabajar activamente para que el equipo comercial logre las metas de ventas establecidas para el apoyo en las líneas de productos asignadas.
Autocapacitarse permanentemente a un nivel avanzado utilizando todas las herramientas disponibles (internet, intranet, publicaciones) apoyándose con los Product Managers.
Preparar carpetas de productos para cada Ejecutivo de Ventas, las cuales deben incluir Guías de Configuración, Guías de Uso, Lista de Accesorios Estándar, Catálogos, Comparaciones de Equipos vs la Competencia, etc.
Preparar configuraciones básicas de las líneas que apoya.
Revisar Especificaciones Técnicas de las bases de compras en licitaciones públicas, generando las consultas pertinentes.
Preparar la configuración de equipos y documentación de sustento para la participación en procesos de compra públicos y privados de las líneas de productos que apoya.
Apoyo en las demostraciones de equipos a los clientes potenciales en conjunto con el Product Manager y el Ejecutivo de Ventas asignado a la cuenta.
Realizar análisis de la competencia, en cuanto a especificaciones, precios, modelos, participación de mercado, desempeño en procesos públicos, etc. 
Las demás tareas asignadas por los Product Managers y/o Gerencia Comercial.

Beneficios
Horario de 8:00 a 5:15- San Borja.
Todos los beneficios de ley desde el primer día.
EPS.","Experiencia mínima de 1 año en puestos relacionados a gestión comercial o técnico comercial del rubro de equipos médicos o salud. 
Manejo de la herramienta SAP.
Inglés Intermedio."
44146553,Ingeniero,"Supervisar el desarrollo del departamento de servicio técnico.
Chequeo y control de la operatividad de los equipos cedidos y/o vendidos.
Controlar los movimientos de los equipos cedidos en uso/ vendidos.
Realizar mantenimiento preventivo y correctivo a los equipos cedidos/vendidos.
Capacitación y manejo de equipos cedidos y/o vendidos a nuestros clientes.
Asesoramiento técnico a los usuarios.
Inducción al equipo de trabajo en el manejo de las actividades asignadas.
Chequeo y control de stock de partes y repuestos necesarios para el funcionamiento óptimo de los equipos cedidos en uso/vendidos.
Elaborar y cumplir el plan de mantenimiento preventivo y correctivo de los equipos de la empresa, realizando los informes correspondientes.
Elaborar estadísticas del soporte técnico prestado, manteniendo al día la información, sobre los registros de eventos, casos, fallas y mantenimientos realizados.
Participar en las actividades que disponga la empresa: capacitaciones (fuera de Perú), conferencias (en oficina), etc.","Experiencia mínima de 02 años en diagnóstico de laboratorio, equipos de laboratorio automatizados, (analizadores de bioquímica, hematología, inmunoensayo, etc.) y equipos de Biología molecular (termocicladores, cabinas de flujo laminar, etc.)
Inglés intermedio - avanzado. (Indispensable)
Disponibilidad para viajar."
44148405,ESPECIALISTA EN PROCESOS,"Evaluar los proyectos de normas y procedimientos de gestión interna, formulados por los diversos órganos de SUSALUD, para mejorar, simplificar y estandarizar los procesos de SUSALUD.

Coordinar los aspectos relacionados a la elaboración y actualización del Mapa de Procesos de SUSALUD para contribuir al cumplimiento de la misión institucional.

Formular, de ser el caso, las propuestas de actualización del Reglamento de Organización y Funciones (ROF), Texto Único de Procedimientos Administrativos (TUPA), entre otros, para que luego, de ser aprobado, se difunda y permita la gestión institucional dentro del marco de la Ley. 

Coordinar las acciones para gestionar el Sistema de Gestión de la calidad de SUSALUD para mantener los estándares de calidad de los procesos de la entidad.

Administrar el archivo técnico de la normativa e instrumentos de gestión institucional para mantenerlo actualizado.

Otras que le asigne el Director General, de conformidad con la naturaleza de sus funciones.","Experiencia:
No menor de ocho (08) años de experiencia en el sector público o privado.
No menor de cinco (05) años de experiencia desempeñando funciones a fines a la presente convocatoria en entidades del Sector Público o Privado.
No menor de tres (03) años de experiencia en entidades del Sector Público.

Formación académica:
Título Universitario de Ingeniero o Administrador

Conocimientos para el puesto:
Gestión por Procesos, Simplificación Administrativa, Gestión de la Calidad, y elaboración de Documentos Técnicos de Gestión para el sector público.

Cursos (1) y/o estudios de especialización (2):
Gestión por Procesos o Simplificación Administrativa o Gestión de la calidad u otros relacionados.

Habilidades:
Análisis, Razonamiento lógico, Redacción, y Creatividad e innovación.

(1) Aquellos cursos u otras actividades de formación académica menores de 100 horas lectivas.
(2) Aquellos cursos, programas, diplomaturas, post títulos y otros que acrediten una formación académica especializada en determinada materia por igual o más de 100 horas lectivas."
