Job Id,Job Title,Job Description,Job Qualifications,Job Category
1003,Practicante FI,Atención de los tickets de mesa de ayuda previa orientación del procedimiento a seguir.  Realizar el control de calidad de los requerimientos de cambio y/o adiciones de las aplicaciones  realizando pruebas técnicas y de usuario.  Documentación técnica de los cambios.  Preparar informes específicos según requerimientos y orientaciones recibidas.,Nivel avanzado en MS Office (Excel Word  Power Point) e Internet.  Dominio del inglés (Intermedio).,
1117,Practicante de Compensaciones,1) Apoyo en el diseño  optimización y ejecución de los procesos involucrados en la gestión de las compensaciones en la empresa.  2) Apoyo en la formulación y elaboración de tableros de control  reportes estadísticos  proyecciones  simulaciones diversas referidas a la gestión de compensaciones en la empresa.  3) Apoyo en los controles de auditoría  4) Apoyo en el seguimiento del cumplimiento del presupuesto de las cuentas de compensaciones y mantenimiento del orden en las cuentas contables correspondientes.  5) Apoyo en el diseño de nuevos proyectos de Gestión de información de Compensaciones.,3 MESES.,
1137,Asistente de Sistemas,Elaboración de diagramas de flujo en Visio  apoyo en proceso de desarrollo de software: ing. de requerimientos.  Análisis de elaboración de prototipos  aseguramiento de calidad.  Apoyar en la Gestión de proyectos. Apoyo en documentación / entregables de proyectos.,Gestión de proyectos e ingeniería de Sofware es preferible que tenga experiencia  pero no indispensable.  El postulante debe tener conocimientos avanzados de ofimática y debe conocer Camtasia en nivel avanzado.  Conocimiento:  Ingeniería del Sotfware. ,
1164,Practicante,Actividades de apoyo como practicante según la especialidad y unidad organizacional.,No es necesaria la experiencia.,
1193,Recíen egresados en Ingeniería Informática para Consultoría de Negocio,Participación en el diseño de soluciones de negocio  en su desarrollo e implantación  desde la vertiente tecnológica. Integración de Sistemas  Sistemas de Información de Gestión  Implantación de herramientas especialistas.  Desarrollo de aplicaciones.  Estrategia de Sistemas. Evolución profesional hacia la gestión de equipos tecnológicos en entornos multidisciplinares trabajando de manera integrada con equipos funcionales.,Buscamos personas dinámicas  responsables  con capacidad de trabajo y facilidad de integración en equipos multidisciplinares  para incorporarse a nuestras áreas de conocimiento: industrias (Entidades Financieras  Energía y Utilities  y Telecomunicaciones) o líneas de actividad (Negocios Mayoristas  Negocios Minoristas  CRM  Riesgos  Operaciones  Información para la Gestión  Nuevas Tecnologías).,
1197,Java Software Engineer,Avantica Technologies  Empresa transnacional dedicada al desarrollo de software  trabaja con tecnología de punta y cuenta con una cartera de clientes en Norte y Centroamérica  y en Perú  con grandes oportunidades de desarrollo y capacitación constante  se encuentra en búsqueda de profesionales destacados para incorporarlos a su equipo de trabajo.  Funciones:   Responsable de manejar la integración y la entrega continua utilizando técnicas de automatización., Experiencia de 2 a 4 años en desarrollo de software en Java.   Sólida experiencia en las siguientes tecnologías y herramientas: Java  JavaScript  Web Programming  Database  Web Apps. Agile/Scrum methodology.,
1203,Practicante Programador,Desarrollar los diferentes proyectos y requerimientos solicitados por la empresa.  Apoyar en el soporte tecnológico a las diferentes aplicaciones de la empresa  Brindar apoyo en las diferentes actividades del Analista de Sistemas.  Crear manuales y documentos referidos a los proyectos y requerimientos desarrollados en la compañía.  Apoyar en las capacitaciones de los usuarios finales.,Indispensable: Experiencia en Visual Studio.Net  C#  Vb.net   SQL Server 2008. Deseable conocimiento en Excel  Reporting Services.  Mínimo de 3 a 6 meses en puestos similares,
1207,Practicante de Automatización de Procesos de TI,1) Brindar soporte y adecuada atención de solicitudes de 1er nivel que llegan al buzón de Automatización.  2) Atiende soporte y solicitudes de 1er nivel vía buzón de IDTAutomatización  3) Capacita a usuarios nuevos sobre las herramientas del ciclo de vida de un requerimiento  4) Apoya en tareas operativas a los proyectos e iniciativas del equipo,Conocimiento de macros en Excel  conocimiento intermedio en SQL,
1226,Administrador de RED y Comunicaciones,El cargo consiste en administrar la infraestructura informática  centro de datos y la red de datos  telefonía y comunicaciones en KOBSA. Las funciones a desarrollar son las siguientes:    Administrar el centro de cómputo de KOBSA.  Administrar la red de datos.  Administrar el servicio de telefonía PBX Asterisk.  Velar por la seguridad informática y de comunicaciones.  Asegurar la disponibilidad de los servicios relacionados a las TI.  Definir y mantener la infraestructura tecnológica más adecuada para la empresa.  Otras que le asigne el Gerente General.,Experiencia laboral mínima de 04 años relacionado con las Tecnologías de la información o Sistemas.    Experiencia laboral especifica mínima de 02 años en puestos similares.    Conocimiento de servidores Linux CentOS.    Conocimiento de servidores Asterisk.,
1237,Analista Programador Web Junior en .Net (C#), Desarrollo de aplicaciones web y servicios en ncapas usando C#  MS –SQL Server  Web services (SOAP/XML  Restful/JSON).   Creación de diagramas de clases  DER's  casos de uso y casos de prueba.   Trabajo en equipo en desarrollos desacoplados con C#.   Garantizar la calidad del proyecto final.,Conocimientos:   Conocimiento intermedio en desarrollos web con C#   Conocimientos a nivel intermedio de las siguientes tecnologías: ASP.net  WCF  RestFul  JSon  JQuery  HTML  CSS  SOAP/XML   SQL Server nivel intermedio (implementación de consultas  funciones y store procedures).  Requisitos   Profesional de la carrera de Ingeniería de Sistemas  Informática o Computación.   Mínimo 2 años de experiencia como Analista Programador Web en C#.net.   Deseable: experiencia en pruebas unitarias automatizadas  experiencia en metodologías ágiles de desarrollo (Scrum).   Inglés: Nivel Intermedio  capacidad de entender y redactar información técnica de tecnologías de información.   Capacidad de trabajo en equipo  orientado al resultado  proactivo  responsable  capacidad de trabajo bajo presión  alta capacidad de análisis e investigación personal  capacidad de autoaprendizaje  autogestionable  analítico.,
