Job Id,Job Title,Job Description,Job Qualifications,Job Category
d,s,s,s,d
meta,meta,meta,meta,class
7,Consultor Junior de Proyectos,Relevar la información de la situación actual de los procesos de negocio de acuerdo a la metodología establecida por la gerencia.  Analizar la información relevada de los procesos e identifica oportunidades de mejora y propone soluciones al equipo de trabajo.,Experto en manejo de herramientas ofimáticas.  Alta capacidad de análisis y comunicación.  Conocimiento de adonis u otros modeladores de procesos.    Experiencia mínima de un año en la implantación de proyectos o metodologías afines en Implantación o Gestión de Proyectos (PMI  BMP).  Experiencia en proyectos corporativos de envergadura como consultor.,Sistemas de información
9,Jefe De Aseguramiento De Calidad, Planificar  organizar dirigir y supervisar las actividades relacionadas al Control y Aseguramiento de Calidad.   Responsable de la Calidad del Producto.   Auditar todos los procedimientos de la organización.   Documentar cualquier cambio en los procedimientos de la empresa.   Capacitación a las revisoras de QA.   Coordinar con todas las áreas y centralizar los requerimientos de QA.,Requisitos mínimos:   Situación: EGRESADO SOLO CON GRADO DE BACHILLER.   Especialidad: INGENIERIA DE SISTEMAS   Certificación ISTQB (Opcional)   Experiencia: Mínimo 2 años de experiencia en Control de Calidad.   Disponibilidad de Horario: Tiempo Completo.,Ingeniería de software
18,Asistente de Tecnología de la Información,"Funciones:  Análisis  desarrollo y documentación de aplicaciones empresariales.  Organizar, mantener actualizado y ordenar debidamente el inventario de equipos de cómputo  así como los archivos de respaldo de información y programas informáticos instalados.  Asegurar el mantenimiento y conservación de los equipos y suministros de cómputo  Realizar otras funciones que le asigne el Jefe del Área  Apoyo en los cierres contables de fin de mes.  Despliegue de las actividades de respaldo de usuarios.  Monitoreo  seguimiento de incidentes por parte de usuarios sobre el uso de equipos  sistemas.",Requisitos:    2 años de experiencia en puestos similares.  Dominio a nivel intermedio/avanzado de los siguiente Lenguajes de Programación:  Visual Basic 6.0  Visual Studio 2012 (Net /C# ) Web/Escritorio  Dominio a nivel Intermedio/Avanzado en Sql server 2005/2008.  Dominio a nivel intermedio en Administración de Windows Server 2008  Capacidad de Análisis y diseño de aplicaciones Empresariales.  Conocimientos Intermedios en Procesos Empresariales (Inventario  Compras  Contabilidad  Facturación  Producción).  Conocimiento Nivel Intermedio/ ITIL  Conocimiento básico de PMBOK del PMI  Experiencia intermedia en herramientas y metodologías de modelamiento (UML  RUP),Tecnologías de información
24,Analista Funcionales Oracle Developer,Accenture es una empresa de consultoría en management  servicios de tecnología y outsourcing. Combinamos una experiencia incomparable  amplias capacidades en todas las industrias y funciones de negocios y una amplia investigación respecto de las empresas más exitosas del mundo.    Nos encontramos en la búsqueda de un profesional de sistemas con experiencia en Oracle Developer con Forms y Reports  PL SQL  Base Oracle 10g   Para desempeñarse como Analistas Senior., 3 a 5 años de experiencia en el desarrollo de aplicaciones con dichas tecnologías.   Experiencia en la dirección de equipos de trabajo y gestión de proyectos.   Deseable experiencia en el rubro de seguros.,Sistemas de información
28,Jefe de Proyecto,Responsable de los proyectos a su cargo  Función: Gestión y diseño de proyectos,Diez años de experiencia en general  Cinco años de experiencia en proyectos de sistemas  Cursos de PMI,Gestión
32,Desarrollador Backend y Frontend Sénior,Desarrollar y dar soporte a los requerimientos asignados por su jefe directo. Estimar la complejidad de los requerimientos (nuevas funcionalidades  incidencias y mejoras) de cada proyecto. Llevar control  actualización de estados y tiempos a las tareas asignadas. Participar de las reuniones de equipo para mejorar el trabajo en equipo.  Conocimientos en lenguaje de programación JAVA  Spring  Spring Security y manejo de Servicios RESTful. Conocimientos en diseño y manejo de base de datos MySql. Conocimientos en JavaScript  jQuery avanzado  jQuery mobile  knockoutjs y phonegap. Conocimiento y manejo de HTML5 y maquetación en CSS3  bootstrap,Experiencia mínima de 2 años participando en equipos de desarrollo en java y 1 año como mínimo en desarrollos móviles  Proactivo. Capacidad para relacionarse. Adaptabilidad/Flexibilidad. Organización y Planificación. Alta capacidad de aprendizaje e investigación.,Ingeniería de software
34,Auxiliar Help Desk,Importante empresa se encuentra en búsqueda de un Analista de Productos de Información que cumpla con el siguiente perfil:    Funciones:  Seguimiento  control y mantenimiento a la plataforma tecnológica que soporta la operación en Perú.  Soporte a los usuarios internos y externos  Creación de usuarios  internos y externos  Garantizar el correcto funcionamiento de los enlaces de datos  interconexión entre bancos  etc.  Garantizar el funcionamiento del correo electrónico y demás sistemas claves para el funcionamiento de la oficinas  Velar por el correcto funcionamiento y mantenimiento a la infraestructura de la empresa: aires acondicionados  Ups’s  planta eléctrica  etc.,Requisitos:  Ingeniero de sistemas universitarios o institutos concluidos.  Experiencia mínima de 1 año en puestos similares.,Tecnologías de información
59,Ingeniero Senior de Software  JAVA,Axcess Financial  empresa transnacional del Grupo CNG Holdings líder a nivel mundial en la industria de servicios financieros  requiere para su área tecnológica un Ingeniero Senior de SoftwareJava.    Funciones:  Monitoreo  supervisión y seguimiento a las tareas de los ingenieros de software y de los proyectos asignados.  Responsable de la entrega de artefactos de software con alta calidad y bajo defecto.  Promover las prácticas de Ingeniería según los procedimientos del área de Ingeniería de Software.  Administración y gestión del repertorio de código fuente de los proyectos.  Implementación de los proyectos de software según especificaciones del área de Ingeniería de Software.  Otras funciones relacionadas a la posición.,Egresado de Ingeniería de Sistemas o Informática.  Certificación Java. (Deseable)  Mínimo 1 año de experiencia habiendo liderado equipos de trabajo.  Experiencia de trabajo con los marcos de SDLC como: Kanban  SCRUM o cualquier desarrollo de software Ágil de ciclo de vida. (Deseable)  Experiencia mínima de 5 años como Ingeniero de software de aplicaciones web y servicios de backend  (Orientados a SOA) . (Obligatorio)  Conocimiento Avanzado en aplicaciones Java Web J2EE y uso de OPEN SOURCE. (Obligatorio)  Experiencia en FRAMEWORKS como: SPRING  ORM (Hibernate)  JMS y MAVEN. (Obligatorio)  Conocimiento Avanzado en BASE DE DATOS como: MySQL y ORACLE. (Obligatorio)  Experiencia en Patrones de Software Empresariales (Business Software Patterns)   en Análisis y Diseño orientado a Objetos utilizando UML 2.X y patrones de diseño. (Obligatorio)  Conocimiento con prácticas de Ingeniería de Software como: integración continua  pruebas unitarias (TDD) y análisis de código estático. (Obligatorio),Ingeniería de software
