Job Id,Job Title,Job Description,Job Qualifications,Job Category
5,Practicante Profesional de Consultoría,Contribuir al control y seguimiento de la gestión de proyectos de mejora con clientes  elaborando informes de avances  planteando alternativas de solución para cumplir con los entregables.,Deseable metodologías de gestión de proyectos (PMI) y procesos de negocio (BPM) .  Ms Office a nivel avanzado.  De preferencia conocimiento de adonis u otros modeladores de procesos.    Experiencia    Experiencia mínima de un año en labores o prácticas similares Deseable funcionales por módulos de SAP.,
6,Consultor Senior de Proyectos,Analiza e investiga información relacionada proponiendo oportunidades de mejora en los procesos de negocio involucrados en el proyecto  según los lineamientos recibidos y plantea alternativas de solución a los problemas detectados en el análisis y sustenta dichas alternativas.    Aplica las técnicas y metodologías de análisis y mejora de procesos para lograr los objetivos y entregables del proyecto  informando a su inmediato superior el avance de los entregables asignados.,Deseable haber utilizado la metodología ASAP en la implementación de proyectos SAP o Metodologías afines en implantación o Gestión de Proyectos (PMI  BMP).  Manejo de MS Office a nivel avanzado.  Manejo de Adonis y Ms Project.    Experiencia mínima de 3 años en consultoría habiendo participado en el Desarrollo de proyectos y/o Implementación de Sistemas.,
16,Analista Programador,Realizar el análisis  diseño  desarrollo e implementación de nuevos procesos y/o modificaciones de los existentes.  Desarrollar interfaces de contabilidad y de finanzas.  Desarrollo de nuevos formularios y reportes.,Egresado de la Carrera profesional o técnica de Ingeniería de Sistemas.  Experiencia mínima de 01 año.  Conocimientos de: aplicaciones contables y funcionamiento de ERP  manejo de Visual Basic / .NET / SQL Server y PL/SQL  Manejo avanzado del paquete office.  Ingles a nivel intermedio de preferencia.,
21,Ingeniero de Proyectos, Desarrollo de proyectos logísticos a nivel estratégico y técnico para empresas de primera línea  incluyendo:   Procesamiento  análisis e interpretación de data.   Desarrollo y evaluación de alternativas de solución para los problemas identificados.  , Manejo avanzado de Microsoft Office (PowerPoint  Excel  Access).   Dominio del idioma inglés.   Experiencia de preferencia en logística o proyectos  pero no necesaria.,
23,Programador,Efectuar tareas de Programación  Labores de Análisis y Diseño  Coordinaciones con usuarios finales,Experiencia mínima de 3 años  preferible en empresas similares.  a. Base de Datos: ORACLE – Avanzado (Programación).  b. Lenguajes de Programación: JAVA Avanzado  Developer  Visual Basic  .Net   Avanzado.  c. Sistemas Operativos: Windows  Unix – Intermedio.  d. Análisis y Diseño de Sistemas – Avanzado.  e. Conocimientos relacionados con gestión de proyectos y servicios informáticos (PMI  CMMI  ITIL).,
33,Consultor Comercial de Servicios de TI,"A solicitud de nuestro cliente  una importante institución de rubro financiero  nos encontramos en la búsqueda de un Consultor Comercial de Servicios de TI  para cubrir las siguientes funciones:    Prospección e identificación de empresas como potenciales clientes.  Realizar exposiciones comercialestécnicas de los servicios a los clientes.  Coordinar con los usuarios de los servicios de las empresas clientes (tesorerías y finanzas) y de las áreas técnicas (sistemas y comunicaciones), con los socios de la entidad, con los proveedores de la entidad, y con las áreas vinculadas a los servicios.  Hacer seguimiento a la entrega de los servicios y atención post venta.  Identificar nuevas necesidades de servicios de tecnología de información.",Experiencia mínima de 3 años en ventas de servicios o productos de tecnología de la información  soluciones de integración y/o telecomunicaciones.  Dominio de Office  base de datos y Microsoft Project.,
41,Representante Comercial de Software,Entender la necesidad del cliente.  Asesorar a los clientes para el desarrollo e implementación de sus ERPs.  Realizar reporte de ventas.  Hacer seguimiento de cartera.  Conseguir nuevos clientes.,En venta de ERPs.,
45,Project Manager,Administrar tiempos en los procesos diarios. Contar con capacidad para solucionar de manera rápida y eficiente las consultas y problemas que se puedan presentar. Debe manejar los recursos existentes de la mejor manera en sus decisiones  coordinar constantemente con los encargados de las diferentes plataformas involucradas en sus proyectos para obtener óptimos resultados.,Experiencia mínima de 4 años en el área de Administración de Proyectos.  Experiencia en al menos cinco proyectos de TI.,
52,Jefe de Proyectos de Telecomunicaciones,Por encargo de nuestro cliente  importante empresa del sector telecomunicaciones  nos encontramos en la búsqueda de un profesional altamente calificado para ocupar la posición de Jefe de Proyectos de Telecomunicaciones.    Funciones:    Dirigir y supervisar la Oficina de proyectos.  Supervisar y controlar las actividades de los Project Managers a cargo.  Generar los reportes e indicadores necesarios para informar sobre los avances del área.  Desarrollar la función  metodología (documentos necesarios  etc.) y cultura de proyectos.  Definir políticas base para garantizar el éxito de los proyectos.  Realizar el planeamiento  control y supervisión de los proyectos.  Supervisión en campo de los proyectos.  Reuniones periódicas con clientes.  Visión comercial  contacto y coordinaciones con las diversas áreas.  Gestión  control  seguimiento y aprobación de los servicios brindados por las empresas contratistas que participan en el proyecto  Definir las líneas base del costo  tiempo y alcance del proyecto.  Apoyar el cumplimiento de la política y objetivos de la calidad.  Reportar al Jefe inmediato superior.  Realizar el análisis de valor ganado del proyecto.  Identificar los riesgos del proyecto y establecer sus estrategias de mitigación.  Asignar los recursos que participarán en el proyecto en relación con el presupuesto del mismo.  Realizar las labores de coordinación con el cliente.,Conocimientos generales de redes y sistemas telefónicos.  Conocimiento del Reglamento y Ley de contrataciones del Estado.  Certificación ITIL (deseable  no restrictivo).  Certificación PMP.  Experiencia en dirección de oficinas de Proyectos (PMO).  05 años en Gestión de PMO y dirección de proyectos.  Experiencia previa en gestión de proyectos con el Estado Peruano (deseable).  Haber gestionado proyectos de montos superiores al US$ 1 000 000.  Ingeniero titulado en Electrónica  Informática o Sistemas.,
60,Administrador Senior de Sistemas  Linux,Axcess Financial  empresa transnacional del Grupo CNG Holdings líder a nivel mundial en la industria de servicios financieros  requiere para su área tecnológica un Administrador Senior de Sistemas  Linux.    Funciones:  Diseñar técnicas de solución que estén vinculadas al modelo arquitectónico.  Instalación y configuración de nuevos hardware y software.  Introducir e integrar las nuevas tecnologías en los entornos de centros de datos.  Trabajar con los equipos de desarrollo de nuevas soluciones  Trabajar en colaboración con los ingenieros de red garantizando el rendimiento del sistema y las aplicaciones.  Aplicación de las actualizaciones del sistema operativo  parches y cambios de configuración.  Análisis de los registros del sistema y la identificación de posibles problemas con los sistemas informáticos.  Apoyar en la implementación de aplicaciones en entornos de producción.  Preparar / proporcionar un entorno de prueba para la ejecución de aplicaciones en fase de desarrollo.  Monitorear el medio ambiente de producción.  Realizar copias de seguridad y recuperaciones.  Apoyo a los desarrolladores y similar al uso / gestión de los sistemas de manera eficiente.  Realización de auditorías de rutina de los sistemas y software.  Añadir  eliminar o actualizar la información de la cuenta de usuario  restablecer las contraseñas  etc.  Proporcionar la documentación de la configuración del sistema.  Solucionar cualquier problema reportado por los usuarios buscando siempre su satisfacción.  Asegurar la disponibilidad de todos los sistemas en cada entorno.  Velar por el cumplimiento de la asignación de roles  privilegios y procedimientos de autorización.,Egresado de Ingeniería de Sistemas  Informática  Telecomunicaciones y Electrónica.  Experiencia mínima de 4 años como administrador en sistemas  arquitecto de Infraestructura y/o Jefe de sistemas.  Conocimiento de sistemas operativos y aplicaciones  así como la solución de problemas de hardware y software.  2 + años de respaldo y recuperación de Linux (Nivel Avanzado) y el trabajo con herramientas Open Source.  2+ años de experiencia en el ajuste de servidor / aplicación web Server  JBoss  Apache y NGNIX.  2 + años en técnicas de administración con las aplicaciones de VoIP y conocimiento en Asterisk.  2+ años administración de servidores de correo electrónico (Como Zimbra  MS Exchange  etc).  Experiencia con el correo electrónico antispam/antivirus filtros es necesario  1 + años de aplicación y  administración en el ambiente de LDAP / Single SignOn y 1 + años de experiencia con tecnologías de virtualización y cloud tales como VMware  Xen  KVM y puppets y Conocimiento con el cloud computing base (privado o público)  Plataformas de entrega de aplicaciones para el balanceo de carga (Como Almacenamiento en caché  compresión   cortafuegos de aplicación  proxy inverso  terminación SSL  etc).  Conocimiento de la aplicación de tecnologías clúster.  Inglés nivel Intermedio.,
