Job ID,Job Title,Job Description,Job Qualifications,Job Category
44143959,Ingeniero Servicio Técnico para Multinacional,"Instalación y puesta en marcha de los equipos de Processing Solutions.
-Mantenimiento preventivo y correctivo de máquinas de Processing Solutions.
-Asistencia en emergencias y búsqueda de fallas en los equipos.
-Resolver problemas técnicos y de funcionamiento en los equipos de Processing Solutions.
-Elaborar reportes técnicos y brindar capacitación.","Experiencia entre 2-3 años indispensable en mantenimiento electrónico-eléctrico-mecánico de maquinas y/o equipos industriales de alimentos (incluir pasantías). 
-Conocimientos en plataformas de programación Siemens o Allen-Bradley (Rockwell).
-Fortaleza en Automatización (PLCs, PCs, Lazos de Control y Redes, etc.), deseable en la marca Rockwell.
Inglés avanzado (oral y escrito), mínimo Intermedio Superior. 
-Disponibilidad para viajar a nivel nacional y al exterior.",
44143994,Supervisor de Control y Mantenimiento de Equipos,"OBJETIVO DEL PUESTO:

- Asegurar la disponibilidad y máxima productividad de los equipos de contraste, así como asegurar la provisión oportuna de los suministros adecuados requeridos.

FUNCIONES GENERALES:

- Proveer y gestionar el equipamiento de contraste y suministros necesarios.

FUNCIONES ESPECÍFICAS:

- Controlar la relación de instrumentos y sistema de medida.
- Proponer, controlar y reportar el cumplimiento del Plan de Mantenimiento, Verificación y Calibración.
- Controlar la entrega, recepción e inspección de bienes y suministros.
- Definir las prioridades de las actividades del área.
- Aprobar las reparaciones externas de equipos de contraste.
- Controlar los archivos pertenecientes a registros del área (mantenimiento, compras, proveedores, entre otros) de acuerdo a los requisitos de servicio y normativas aplicables.
- Controlar la ubicación y custodia de los equipos de contraste.
- Proponer, controlar y aprobar las condiciones de almacenamiento de los equipos de contraste en todas los sitios operativos de la empresa a nivel nacional.
- Aprobar los proyectos de mejora para los equipos y para las instalaciones del área.
- Controlar los procesos de adquisición de bienes y suministros.
- Proponer y realizar capacitaciones para asegurar la competencia técnica del personal del área.
- Aprobar los presupuestos anuales del área.",Mínima: 2 años en áreas de Mantenimiento o áreas similares.,
44144071,Desarrollador WEB,"FUNCIONES

	Programación, diseño y mantenimiento de la base de datos.
	Programación y mantenimiento de la página Web.
	Programación de los correos HTML para envío de forma masiva.
	Asistencia al equipo de Marketing mediante la publicación de nuevos contenidos en la web","	Dos años de experiencia en puestos similares.
	Conocimiento a nivel avanzado de PHP, MySQL, HTML5, Javascript, CSS.
	De preferencia tener conocimiento de jQuery, JSON, Angular JS, Twitter bootstrap.
	Manejo a nivel avanzado de Inglés Técnico.
	Proactivo, dinámico, creativo.",
44144092,Ingeniero Asesor de Proyectos,"Profesional con enfoque técnico comercial. Para asesorar, preparar propuestas y ejecutar proyectos de automatización industrial a empresas industriales. 
El enfoque son proyectos de Automatización y Control Industrial.
Se le capacitara en Producto y programación de PLC, servomotores, sensores, bus de campo. Ademas de técnicas de negociación.
Estará a cargo de una cartera de clientes y tendrá objetivos comerciales que cumplir. Persona orientada a logro con manejo en relaciones interpersonales para lograr concretar negocios.
Capacidad de liderazgo, crecimiento y trabajo bajo presión.",Conocimiento en tecnologías de automatizacion y control industrial,
44144113,Practicante de Servicio de Voz y Datos,"• Implementar una Base de Datos de Topologías Tipo de oficinas que facilite el soporte remoto de la red de oficinas, Cajeros y Agentes Express del BBVA, soportándose en los proveedores de servicio para obtener información de enlaces .
• Apoyo en la publicación de los reportes de disponibilidad de servicio de Voz y Datos del Banco.","- Conocimientos de lenguajes de programación.
- No es indispensable la experiencia de prácticas anteriores.",
44144246,Analista de Ingeniería Clinica,"•Elaboración, Ejecución y Control del Procedimiento de Sostenimiento de los Equipos Médicos (GA.IC.P.04).
•Apoyo en la ejecución del Procedimiento de Adquisición de Equipos Médicos (GA.IC.P.02): Entrevista a los usuarios para establecer los requerimientos principales de los equipos médicos, Evaluación de la Tecnología Médica (pruebas, ensayos clínicos) para la correcta configuración y adquisición de los equipos médicos.  Cuadros comparativos de cotizaciones (LCCA).
•Apoyo en la optimización de procesos asistenciales a través de la tecnología médica (correcta configuración de los equipos médicos)
•Autocapacitación, investigación.  Revisión de las bases de datos en las que estamos suscritos.  Visitas de supervisión y validación de la ejecución de los lineamientos corporativos por especialidad (estandarización).  
•Apoyo en la Ejecución del Procedimiento de Evaluación y Planificación de Servicio (GA.IC.P.01).","•Experiencia mayor a 01 año en el sector salud, específicamente en Ingeniería Clínica.
•Conocimiento teórico y práctico en equipamiento médico de su especialidad a nivel usuario y técnico (Diagnóstico por Imágenes, Áreas Críticas, Salas de Operaciones, Esterilización).
•Experiencia en Evaluación, Planificación y Adquisición del equipamiento médico de su especialidad (Diagnóstico por Imágenes, Áreas Críticas, Salas de Operaciones, Esterilización)
•Elaboración, ejecución y seguimiento de Planes de Sostenimiento de Equipos Médicos y presentaciones de resúmenes ejecutivos.
•Experiencia en Proyectos (ideal). ok",
44144307,Pre Sales Engineer,"•	Desarrollo de nuevos negocios en proyectos relacionados a la Telefonía IP y Comunicaciones Unificadas. 
•	Capacitaciones y presentaciones técnicas sobre productos y servicios relacionados con Telefonía IP y Comunicaciones Unificadas a Integradores y Clientes Finales.
•	Realización de informes técnicos de pruebas de funcionalidades de Telefonía IP y Comunicaciones Unificadas.
•	Promover los productos y servicios estratégicos de la compañía.
•	Desarrollar y fomentar las relaciones con clientes.
•	Promover la comunicación con las otras áreas de la compañía para transmitir la dinámica del mercado y las necesidades de los clientes. 
•	Desarrollar las demos requeridas para las soluciones.","•	Experiencia no menos de 2 años en Pre-Venta o ventas en soluciones de Telefonía corporativa con Centrales Telefonicas Avaya, Nortel, Cisco, Alcatel, Siemens, Asterisk, etc, o con diseño de soluciones de telefonía en la nube.
* Haber laborado en áreas de Preventa y Proyectos sera considerado como una ventaja adicional.",
44144417,Practicante de Servicio Técnico,"Apoyo en las reparaciones, instalaciones y /o mantenimiento de los sistemas, equipos multifuncionales ( impresoras, copiadoras, etc)  de la empresa.",Minima de 6 meses efectuando reparaciones a equipos.,
44144421,ING. ELECTRONICO,"Planificar y realizar el mantenimiento y reparación de los equipos, revisando su funcionamiento y reemplazando las piezas deterioradas, generando reportes y documentación de la sección, guiándose por las políticas y procedimientos de QHSSE y generando reportes sobre el mantenimiento realizado y los repuestos utilizados, con la finalidad de garantizar el buen estado de los mismos y contribuir a alcanzar los objetivos de la línea.","Requisitos:
Ingeniero electrónico o sistemas.
Más de 3 años de experiencia en la industria de Petróleo
Amplios conocimiento en reparación de tarjetas electrónicas, circuitos eléctricos, instalaciones electrónicas, diagnostico de fallas, prueba de circuitos entre otros.
Inglés nivel intermedio
Lugar de residencia en Lima.
Disponibilidad para realizar viajes continuos a zona de operaciones (pozo o locaciones remotas)

Competencias:
Con iniciativa y orientado a resultados.
Proactivo y dinámico
Innovador, permite la mejora continua.
Con capacidad de organización  y planificación.
Promueve la excelencia en el servicio.",
44144490,Analista de Arquitectura,"Descripción del Puesto: 

-Definición de estándares  para desarrollo de software, -Participar en pruebas de concepto o proyectos de desarrollo nuevos. 
-Verificar que se cumplan los diseños y estándares técnicos de la Empresa, Investigar el uso de nuevas tecnologías.","Formación:   Ingeniero(a) de Sistemas, Informática o afines.
Modalidad de Contrato: Planilla
Experiencia Profesional: De preferencia 2 años de experiencia laboral en puestos similares.
Conocimientos Informáticos: Experiencia de trabajo en los siguientes frameworks:
• Hibernate.
• Spring.
• JSF (Java Server Faces).
Conocimientos de arquitectura orientada a servicios (SOA).
Cursos y Certificaciones:  Certificación en plataforma Java y Arquitectura de Software
Competencias (Habilidades): Capacidad de Análisis, Capacidad de aprendizaje, Comunicación, Orientación a resultados, proactividad, Innovación, Creatividad, Adaptabilidad y Flexibilidad.
Se ofrece:
-Línea de carrera.
-Ser parte de una empresa en franco crecimiento, con soluciones instaladas en Latinoamérica y Estados Unidos, en más de 16 países.
-Ingreso a planilla con todos los beneficios de ley desde el primer día.
-EPS cubierta al 100% (desde el 4to mes)
-Vales de Sodexo alimenticio por monto S/. 110
- Horario de Lunes a Viernes de 9:00am. a 6:00pm.
-Capacitación constante en las líneas de productos y soluciones que ofrece la empresa.",
44144550,Analista de TI,"Sus funciones son:
- Elaborar y ejecutar estrategias de valor agregado y planes tácticos de los proyectos.
- Implementación de la parte técnica de los servicios para los clientes: Google Apps, Google Search Appliance, Analytics, E-learning, SEO
- Soluciones Cloud Computing
- Desarrollo de arquitectura de información
- Coordinación del desarrollo Web
- Soporte para los proyectos que requieran del uso de tecnologías de información
- Comunicación directa con las áreas de sistemas de las empresas.","De preferencia, con experiencia en área de tecnología",
44144564,Especialista de Servicios,"Profesional responsable de realizar actividades de mantenimiento proactivo, preventivo y correctivo en empresas industriales con base instalada Honeywell en tecnologías de Seguridad Industrial ( Sistemas CCTV, Control de Accesos, Fire&Gas). Adicionalmente, debe tener capacidades para el soporte en actividades de proyectos de Seguridad Industrial.","Experiencia comprobada en implementación de Sistemas de Seguridad ( 5años).
Conocimientos AutoCAD
Conocimientos de Redes Industriales
MS Office",
44144582,Ingeniero electrónico,"FUNCIONES
-Participar en el diseño e Implementación de un Sistema de Transmisión para operar en un nanosatélite y un sistema de Recepción en tierra.
-Realizar pruebas en herramientas de simulación, en laboratorio y en campo.
-Desarrollo de software para adquisición y almacenamiento de señales.","PERFIL
-Bachiller o Profesional titulado en Ingeniería Electrónica, telecomunicaciones y/o ramas afines.
-Conocimientos de diseño de circuitos electrónicos y de sistemas de radiofrecuencia (transmisión, recepción).
-Manejo de software de diseño, análisis y simulación de circuitos electrónicos y de diseño de circuitos impresos.
-Conocimientos de diseño de sistemas digitales.
-Manejo de lenguajes de Programación.
-Deseable conocimiento de teoría y diseño de antenas UHF, VHF (deseable).
-Manejo de entorno Linux, Windows.

o	Capacidad de trabajar en equipo e independientemente.
o	6  meses de experiencia profesional mínima.
o	Aptitud y deseo de aprender y progresar.",
44144664,Operador de Sistemas," Revisar y verificar los equipos instalados en el Centro de Cómputo principal y contingencia, así como monitorear, activar y operar los diferentes servicios que brinda la gerencia de sistemas.
 Generar y distribuir reportes periódicos solicitados por las diversas áreas del banco como contabilidad, riesgos, operaciones, etc. con el fin de que éstos sean presentados a las entidades reguladoras de la organización.
Procesar la bitácora de procesos establecida por la unidad de producción para las diferentes plataformas computacionales ( AS/400, AIX, INTEL ) y entidades de servicio (Scotiabank, Crediscotia y Banco Antigua), así como la información proveniente de las diferentes unidades internas y/o externas afines al negocio.
 Verificar los parámetros y equipos de ambientación para la buena performance del sistema, así como monitorear y operar la política de respaldo y recuperación de información."," Haber desempeñado anteriormente posiciones como operador de sistemas.
 Manejo de periféricos y redes.
 Conocimiento de centros de computo.
 Conocimiento de Plataforma AS/400 a nivel Intermedio-Avanzado.
 Conocimiento en AIX, Unix, Windows, Base de Datos Oracle, MS-Office, Intel.
 Dominio del idioma inglés a nivel intermedio.",
44144702,Wireless Engineer,"*Make configuration files for NodeB. 
*Make the troubleshooting of RNC and NodeB problems. 
*Make the installation, commissioning and integration of BSC (and RNC). 
*Provide expertise & consultancy to customer technical teams. 
*Provides Support to the customer (remote or On-site). 
*Feature testing and acceptance test.","*At least 2 years experience related working experience in mobile networks. 
*High interest on learning GSM/UMTS/ LTE. Knowledge of IP, wireless principle and network structure. 
*Fluent in spoken and written English. 
*Availability to work in different schedules. 
*Willing to travel.",
44144706,Radiofrecuency Engineer (RF Engineer),"1.To execute of network planning and optimization project for GSM/WCDMA/LTE network  mainly in Peru
2.Radio network optimization for commercial projects (performance improvement). To optimize the radio network based on the OMC statistics, drive test data and output report.
3.Technical communication with the engineers from customer","1.Bachelor degree in Telecommunication or Electronic Engineering.
2.At least 3 years experience in RF planning and optimization.
3.Experience in GSM/WCDMA technology including radio system design and system management, radio resource management, radio optimization and performance tuning. Be familiar with the tools network planning and optimization.
4.Fluent English.",
44144717,Ingeniero Senior - Gestión de Proyectos Eléctricos,"Funciones
Realizar la formulación, evaluación crítica y seguimiento de proyectos.
Realizar la evaluación de procesos productivos para identificar, proponer y liderar proyectos de mejora.
Supervisar el diseño de Máquinas y/o Equipos para las líneas productivas de la planta.
Realizar la evaluación de propuestas técnicas de proyectos.
Controlar y cumplir con el presupuesto de CAPEX.
Desarrollar proyectos de mejora en planta (proyectos de ahorro en costos).","Deseable Diplomado en PMI.
Deseables especializaciones en PAS 55 (Gestión de Activos).
Con un mínimo de 02 años de experiencia en el área de Proyectos, Mantenimiento y Operaciones; de plantas industriales de gran envergaduras del sector industrial, minero, químicas, hidrocarburos o afines. 
Conocimiento tanto de ingeniería como de trabajo en campo.
Conocimientos en gestión de proyectos PMI
Conocimientos técnicos en programación, automatización, instalaciones de media y baja tensión.
Manejo Intermedio – Avanzado de MS Office",
44144725,Especialista de Sistemas,"El Especialista de Sistemas es responsable de brindar asesoramiento profesional especializado en la Identificación de necesidades informáticas de la Empresa, así como en la administración de los procesos de producción, desarrollo, mantenimiento de sistemas, supervisión de la implantación de sistemas informáticos, procedimientos de seguridad y asegura la continuidad de los servicios informáticos.","Estudios Complementarios:  Especialización en Gestión de Proyectos Informáticos, o Administración de Proyectos Informáticos, o Análisis y Diseño de Sistemas, o Seguridad Informática. 
Otros: Desarrollo de Sistemas, o ERP, o Base de Datos, o Project, o Software colaborativo, o Software de Contenidos y/o Gestión documental.
Experiencia: Experiencia laboral mínima de cuatro (04)  años, en labores propias  y/o  relacionadas al área.",
44144754,Asistente de Ingeniería y Desarrollo," Investigación de la nuevas tecnologías del mercado.
- Desarrollo de proyectos relacionados con la tecnología satelital.
- Programación de equipos satelitales, duales y accesorios.
- Administración de plataforma de seguimiento y rastreo.
-  Comunicaciones con los fabricantes de los equipo y/o accesorios para su integración a nuestra plataforma.",,
44144773,Ingeniero de Servicio Técnico - Equipos Biomédico,"-Realizar de los procedimientos de Instalaciones/Desinstalaciones, de manera adecuada: coordinación interna/externa,  seguimiento   y realización que garantice el óptimo funcionamiento de los equipos
-Realizar los mantenimientos preventivos según planificación y según protocolos.
-Ser el asesor técnico sobre los requerimientos técnicos de los modelos de equipos para la organización de lanzamientos y en el manejo de la línea de productos/equipos.
-Proporcionar toda información requerida en los tiempos establecidos, los cuales garanticen la oportuna y correcta atención del cliente.
-Cumplir los procedimientos administrativos y técnicos para la realización de sus actividades","Inglés a nivel avanzado (Recomendable)
-Conocimientos de Windows Office y Autocad o algún programa similar
-Experiencia mínima de 2 años en cargos de soporte y servicio técnico manejando equipos médicos.
-Competencias: Servicio al cliente, trabajo en equipo, tolerancia a la presión, planeación y organización",
44144783,Operador de Exteriores," Realizar rondas de visita cada 3 o 4 horas a la Central Térmica Santo Domingo de Olleros y equipos auxiliares e inspeccionar a detalle de forma visual. 
- Coordinar con el jefe de turno para iniciar eventos operativos (mantenimientos, bloqueos, pruebas de equipos)
- Controlar que los parámetros de operación de la planta se mantengan en un nivel adecuado (presión, temperatura, líquido, voltaje)
- Realizar inspecciones de equipos críticos y elaborar instructivos y procedimientos de operación.
- Elaborar una planilla integradora con las observaciones identificadas en el transcurso del día (a media noche)
- Realizar investigación y análisis de fallas y la preparación de los respectivos informes escritos.","- Disponibilidad para realizar turnos rotativos. 
- Capacidad para subir escaleras verticales, realizar trabajos en altura.
- 1 año realizando funciones similares",
44144789,EJECUTIVO DE CUENTAS IT,"Responsable de gestionar oportunidades comerciales hasta el cierre comercial. 
-Identificación, calificación y generación de demanda para desarrollar clientes, fidelización de clientes y búsqueda de nuevas oportunidades de negocios hasta el cierre. 
-Cumplir con los objetivos y metas
-Asistir a reuniones, presentaciones y presentar propuestas basado en una labor de venta consultiva, en comunicación constante con el equipo de ventas y utilizando habilidades de negociación para el logro de cierre de negocios. Manteniendo una permanente orientación al Cliente.
-Generación y captación de clientes prospectos para incrementar el pipeline.
-Configuración de soluciones IT
-Mantenimiento de clientes de base instalada (clientes recurrentes)
-Gestión administrativa del proceso de venta
-Coordinación con partners de negocio y distribuidores mayoristas","Ejecutivo comercial junior de soluciones tecnológicas, con capacidad de recomendar, ofrecer y vender soluciones de TI estableciendo buenas relaciones con clientes y socios de negocio.",
44144790,Ingeniero Eléctrico de Proyectos,"FUNCIONES:

-Ejecutar los proyectos de acuerdo a los alcances, en el plazo acordado y dentro del presupuesto.
-Controlar el cronograma, el presupuesto y la calidad de los entregables.
-Ejecutar las obras según la Norma Eléctrica Peruana.
-Supervisar la instalación de equipos industriales de media y alta tensión así como la ejecución de obras electromecánicas y civiles.","-2 años de experiencia en la ejecución de proyectos en empresas industriales y un año como mínimo administrando proyectos.
-Indispensable experiencia en media y alta tensión.
-Inglés básico.
-Deseable manejo de SAP y PMBOK.
-Conocimiento integral de la Norma Eléctrica Peruana",
44144812,Analista de TI,"• Desarrollar nuevos aplicativos y dar mantenimientos a los sistemas ya existentes de la empresa.
• Proponer mejoras a los sistemas.
• Trabajar en base a una especificación dada y respetando los tiempo estimados.
• Demostrar calidad en sus desarrollos.
• Apoyar en otras tareas del Equipo (Documentación, Soporte a Usuarios, entre otros).","2-3 años en programación de Visual Basic .NET.
2-3 años en base de datos Oracle, SQL Server O Mysql.
2-3 años desarrollando aplicaciones cliente-servidor y Web (ASP.NET)
1 año desarrollando servicios Web .Net.",
